°üÍ·,x,y,z
5,6,48,-309
5,14,51,-313
5,24,56,-330
5,35,56,-340
5,49,51,-353
5,47,55,-365
5,40,62,-369
5,22,62,-360
0,6,67,-351
0,7,63,-346
0,1,46,-329
0,3,38,-313
0,9,36,-308
0,25,51,-330
0,36,67,-343
0,49,63,-353
0,51,64,-368
0,40,59,-375
0,19,51,-362
0,0,56,-356
0,-4,54,-353
0,-1,39,-336
0,7,32,-304
0,9,35,-308
0,24,49,-335
0,31,64,-346
0,46,71,-348
0,51,67,-362
0,35,60,-372
0,19,48,-365
0,3,51,-353
0,-5,56,-346
0,6,51,-345
1,4,44,-322
1,7,43,-308
1,19,48,-313
1,25,60,-337
1,38,67,-344
1,44,62,-354
1,46,60,-381
1,32,56,-373
1,12,56,-353
1,-1,60,-349
1,-5,51,-340
1,-1,44,-328
1,7,36,-317
1,16,41,-305
1,28,47,-314
1,35,60,-340
1,46,60,-353
1,44,57,-369
1,31,56,-377
1,16,55,-365
1,-1,56,-353
1,-1,48,-353
1,6,48,-328
1,3,44,-314
1,7,44,-319
2,24,51,-320
2,32,60,-329
2,39,63,-344
2,35,57,-360
2,30,55,-376
2,28,54,-368
2,17,51,-359
2,6,57,-349
2,-1,55,-338
2,-2,44,-328
2,1,39,-312
2,12,44,-311
2,24,56,-327
2,35,60,-340
2,46,59,-357
2,41,56,-377
2,35,57,-372
2,19,56,-359
2,3,60,-352
2,-10,54,-346
2,-7,46,-329
2,0,39,-316
2,12,44,-305
2,23,54,-322
2,31,60,-337
3,39,60,-343
3,39,54,-361
3,28,51,-373
3,16,54,-365
3,4,56,-354
3,0,63,-351
3,-1,51,-338
3,3,40,-321
3,6,41,-306
3,12,51,-313
3,22,51,-330
3,30,57,-340
3,32,55,-353
3,33,48,-365
3,28,60,-372
3,22,63,-368
3,15,56,-356
3,6,56,-345
3,-2,48,-333
3,-4,44,-324
3,3,44,-313
3,15,48,-312
3,28,52,-328
3,36,51,-336
3,44,49,-349
4,39,48,-364
4,28,63,-377
4,19,63,-368
4,12,54,-364
4,6,41,-345
4,7,35,-328
4,7,41,-325
4,12,48,-317
4,23,55,-309
4,35,56,-328
4,41,56,-329
4,49,49,-345
4,47,51,-362
4,39,51,-376
4,30,43,-372
4,22,48,-360
4,17,44,-349
4,16,48,-333
4,17,49,-329
4,19,54,-320
4,28,52,-317
4,39,44,-328
4,48,39,-345
4,49,43,-354
4,51,52,-370
5,47,62,-369
5,35,59,-364
5,24,47,-353
5,15,31,-340
5,14,32,-330
5,14,38,-313
5,19,44,-312
5,35,44,-320
5,51,48,-330
5,63,55,-345
5,68,63,-357
5,60,70,-360
5,47,59,-359
5,28,36,-361
5,15,19,-356
5,27,16,-336
5,31,32,-329
5,31,49,-317
5,38,59,-320
5,48,56,-337
5,64,56,-356
5,71,67,-351
5,73,65,-352
5,63,67,-353
5,48,52,-361
0,39,35,-361
0,35,24,-365
0,38,39,-345
0,35,56,-322
0,38,68,-316
0,46,71,-317
0,51,63,-324
0,56,54,-320
0,60,49,-332
0,79,44,-359
0,71,41,-353
0,64,57,-348
0,51,64,-340
0,35,67,-328
0,22,76,-344
0,25,73,-365
0,49,59,-364
0,78,47,-365
0,92,24,-361
0,95,7,-370
0,87,3,-365
0,72,3,-351
0,57,7,-341
0,51,32,-346
0,39,79,-346
1,46,96,-328
1,48,79,-329
1,55,67,-333
1,63,48,-338
1,63,28,-345
1,60,9,-333
1,63,-7,-338
1,55,-5,-325
1,49,12,-333
1,51,40,-336
1,49,62,-338
1,48,83,-349
1,48,78,-345
1,48,71,-353
1,54,63,-360
1,57,54,-356
1,51,56,-367
1,41,54,-375
1,19,41,-356
1,19,36,-324
1,25,28,-329
1,39,27,-351
1,59,31,-345
1,63,41,-332
1,60,44,-324
2,47,46,-333
2,31,48,-319
2,28,47,-324
2,38,48,-351
2,47,54,-356
2,54,57,-346
2,62,63,-346
2,60,54,-346
2,44,33,-340
2,40,19,-330
2,39,25,-352
2,39,46,-349
2,32,62,-328
2,39,60,-345
2,51,39,-362
2,63,14,-369
2,68,-7,-372
2,67,-7,-360
2,55,16,-359
2,43,41,-353
2,28,60,-332
2,15,63,-303
2,15,56,-305
2,33,41,-345
2,60,43,-365
3,78,47,-346
3,86,60,-332
3,79,59,-336
3,55,39,-346
3,35,19,-330
3,24,3,-321
3,25,-2,-313
3,43,7,-329
3,60,30,-348
3,70,48,-353
3,88,70,-369
3,91,88,-353
3,76,88,-359
3,54,71,-365
3,30,48,-362
3,-12,27,-353
3,-2,15,-333
3,25,11,-353
3,49,11,-349
3,67,27,-349
3,79,48,-370
3,84,70,-328
3,83,65,-336
3,59,56,-333
3,25,48,-306
4,17,39,-298
4,28,40,-353
4,41,52,-356
4,57,56,-346
4,70,40,-359
4,56,32,-356
4,39,33,-349
4,30,49,-351
4,27,63,-349
4,23,71,-329
4,28,63,-322
4,41,55,-344
4,62,38,-354
4,71,28,-352
4,68,24,-360
4,51,24,-354
4,35,30,-345
4,12,28,-348
4,20,38,-327
4,19,48,-298
4,19,49,-320
4,38,39,-353
4,59,38,-356
4,79,38,-365
4,80,49,-357
5,63,63,-351
5,30,63,-356
5,11,48,-356
5,1,36,-332
5,7,28,-300
5,24,28,-317
5,47,33,-353
5,70,60,-353
5,80,75,-356
5,78,86,-360
5,56,70,-359
5,25,44,-360
0,23,25,-304
0,24,31,-336
0,40,51,-352
0,60,65,-349
0,75,62,-359
0,27,44,-360
0,20,17,-353
0,25,19,-353
0,25,23,-346
0,0,24,-333
0,9,31,-313
0,7,35,-325
0,23,48,-338
0,46,55,-340
0,63,41,-348
0,56,31,-369
0,41,19,-377
0,31,24,-356
0,16,36,-360
0,0,41,-352
0,3,40,-317
0,16,35,-317
0,24,32,-343
0,33,27,-336
0,44,31,-338
1,63,33,-353
1,55,35,-344
1,47,24,-356
1,11,39,-360
1,-4,47,-324
1,6,44,-343
1,7,39,-336
1,7,32,-301
1,30,16,-344
1,62,17,-364
1,79,31,-365
1,63,35,-377
1,44,38,-356
1,17,46,-351
1,7,48,-353
1,-4,40,-333
1,8,28,-328
1,17,19,-321
1,24,30,-309
1,32,35,-317
1,44,39,-343
1,54,44,-345
1,51,32,-356
1,47,19,-369
1,39,22,-368
2,31,32,-369
2,15,47,-357
2,3,46,-346
2,6,35,-343
2,12,27,-330
2,19,20,-314
2,30,24,-313
2,41,19,-329
2,56,27,-345
2,60,28,-345
2,56,24,-365
2,43,31,-377
2,31,46,-364
2,7,51,-356
2,-4,35,-354
2,7,31,-340
2,19,24,-333
2,28,25,-322
2,31,31,-305
2,39,31,-327
2,46,24,-343
2,52,24,-336
2,51,20,-345
2,48,19,-365
2,43,31,-378
3,31,43,-361
3,15,51,-352
3,0,48,-354
3,7,31,-335
3,25,16,-328
3,27,17,-322
3,31,27,-313
3,36,28,-328
3,46,28,-335
3,48,28,-338
3,52,28,-365
3,49,36,-378
3,39,48,-376
3,-2,49,-361
3,-1,28,-353
3,12,24,-345
3,19,23,-336
3,25,30,-332
3,23,31,-308
3,25,38,-308
3,35,39,-328
3,48,31,-338
3,54,27,-349
3,40,16,-369
3,32,17,-372
4,28,32,-365
4,15,46,-365
4,7,48,-356
4,7,48,-336
4,12,39,-328
4,12,31,-317
4,25,30,-312
4,35,25,-324
4,48,25,-336
4,48,24,-349
4,47,24,-367
4,40,31,-376
4,28,40,-362
4,11,52,-360
4,-2,54,-349
4,1,47,-343
4,7,35,-324
4,12,32,-306
4,25,30,-306
4,40,23,-329
4,60,24,-345
4,63,30,-359
4,51,30,-377
4,48,35,-370
4,25,44,-360
5,6,54,-362
5,-1,46,-353
5,9,31,-336
5,20,24,-320
5,24,20,-305
5,33,23,-309
5,48,22,-325
5,51,30,-341
5,67,35,-364
5,60,28,-370
5,56,19,-356
5,46,28,-359
5,24,35,-362
5,-1,24,-357
5,12,11,-340
5,24,19,-328
5,32,27,-319
5,56,23,-322
5,60,15,-324
5,59,7,-333
5,56,1,-356
5,48,1,-356
5,41,1,-353
5,39,7,-349
5,22,15,-349
0,17,23,-349
0,25,11,-377
0,35,7,-344
0,51,7,-320
0,56,7,-330
0,56,7,-352
0,56,-1,-349
0,59,-23,-349
0,38,14,-345
0,54,20,-377
0,31,-8,-353
0,22,-2,-348
0,24,7,-345
0,25,17,-313
0,24,36,-296
0,24,63,-311
0,28,51,-349
0,47,14,-349
0,67,-25,-343
0,73,-47,-361
0,60,-25,-360
0,47,-2,-367
0,32,17,-361
0,30,31,-356
0,30,36,-369
1,35,41,-340
1,40,47,-319
1,41,40,-340
1,35,32,-328
1,49,23,-336
1,63,17,-349
1,62,17,-354
1,63,11,-359
1,62,3,-360
1,57,11,-364
1,47,30,-345
1,36,33,-324
1,28,30,-319
1,25,31,-317
1,33,41,-332
1,39,44,-345
1,60,31,-352
1,80,24,-353
1,83,19,-367
1,67,23,-360
1,24,28,-353
1,15,31,-351
1,27,39,-328
1,39,39,-308
1,35,39,-317
2,40,39,-329
2,55,36,-345
2,73,39,-359
2,87,28,-369
2,60,20,-362
2,38,15,-360
2,28,23,-359
2,19,38,-346
2,24,48,-324
2,30,48,-309
2,31,51,-313
2,47,47,-330
2,63,33,-345
2,79,24,-349
2,81,15,-365
2,54,15,-364
2,46,19,-359
2,25,31,-356
2,19,39,-349
2,19,44,-322
2,31,51,-306
2,35,52,-322
2,44,48,-330
2,68,35,-353
2,86,24,-361
3,80,16,-362
3,56,14,-360
3,39,22,-360
3,24,28,-356
3,24,40,-345
3,28,47,-320
3,33,48,-305
3,38,51,-324
3,55,48,-336
3,70,38,-353
3,86,25,-360
3,63,14,-365
3,51,8,-360
3,39,19,-364
3,27,30,-353
3,24,39,-345
3,24,48,-316
3,35,51,-313
3,41,49,-322
3,60,40,-330
3,71,35,-344
3,76,24,-360
3,65,16,-372
3,54,7,-361
3,41,15,-362
4,35,30,-356
4,32,40,-345
4,31,41,-327
4,31,46,-308
4,40,48,-319
4,51,39,-325
4,63,28,-341
4,78,23,-354
4,81,19,-370
4,56,15,-368
4,48,16,-360
4,31,25,-360
4,24,36,-349
4,25,39,-333
4,72,17,-372
4,51,22,-365
4,33,28,-360
4,19,35,-357
4,17,44,-338
5,24,40,-313
5,31,40,-308
5,48,41,-321
5,62,30,-335
5,80,24,-349
5,86,19,-356
5,71,22,-364
5,35,19,-367
5,30,27,-360
5,24,33,-356
5,22,40,-345
5,27,43,-314
5,33,46,-313
5,43,41,-327
5,57,32,-337
5,75,28,-354
5,86,22,-367
5,68,16,-369
5,39,17,-365
5,27,23,-360
5,24,35,-349
5,24,39,-332
5,28,40,-313
5,35,40,-312
5,46,35,-324
0,57,24,-345
0,71,7,-365
0,76,24,-370
0,62,24,-372
0,41,22,-365
0,23,27,-353
0,20,35,-341
0,24,38,-330
0,31,35,-313
0,36,35,-314
0,48,33,-324
0,56,31,-340
0,64,28,-356
0,67,28,-368
0,59,20,-369
0,35,19,-361
0,38,27,-351
0,28,35,-345
0,23,35,-329
0,25,38,-305
0,35,35,-313
0,44,31,-328
0,56,25,-352
0,70,22,-362
0,71,20,-369
1,44,17,-369
1,38,20,-365
1,28,31,-352
1,15,33,-348
1,14,35,-330
1,27,39,-305
1,31,39,-316
1,47,31,-332
1,51,24,-345
1,67,23,-361
1,51,24,-368
1,33,19,-364
1,33,25,-359
1,22,38,-344
1,7,46,-340
1,12,38,-328
1,17,35,-308
1,28,35,-314
1,39,33,-333
1,48,27,-348
1,62,22,-356
1,41,24,-368
1,32,24,-368
1,30,25,-356
1,19,36,-340
2,12,39,-340
2,14,35,-321
2,17,39,-312
2,24,41,-320
2,38,33,-336
2,48,30,-344
