包头,x,y,z,,,,,,,状态,休息,采食,活动,爬跨,反刍,其他,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
3,11,36,-354,-5,3,2,5,3,2,250,0,8,0,0,385,0,355.9957865,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,32,-343,-8,-4,11,8,4,11,250,0,8,0,0,385,0,344.5025399,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,4,28,-328,1,-4,15,1,4,15,250,0,8,0,0,385,0,329.2172535,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,7,28,-309,3,0,19,3,0,19,250,0,8,0,0,385,0,310.3449693,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,8,31,-317,1,3,-8,1,3,8,250,0,8,0,0,385,0,318.6126175,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,15,23,-333,7,-8,-16,7,8,16,250,0,8,0,0,385,0,334.1302141,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,31,19,-344,16,-4,-11,16,4,11,250,0,8,0,0,385,0,345.9161748,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,48,19,-351,17,0,-7,17,0,7,250,0,8,0,0,385,0,354.7759857,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,39,22,-369,-9,3,-18,9,3,18,250,0,8,0,0,385,0,371.7068738,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,28,24,-362,-11,2,7,11,2,7,250,0,8,0,0,385,0,363.8736044,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,19,33,-362,-9,9,0,9,9,0,250,0,8,0,0,385,0,363.9972527,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,36,-356,-16,3,6,16,3,6,250,0,8,0,0,385,0,357.8281711,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-2,32,-345,-5,-4,11,5,4,11,250,0,8,0,0,385,0,346.486652,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,30,-330,5,-2,15,5,2,15,250,0,8,0,0,385,0,331.3744106,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,30,-306,0,0,24,0,0,24,250,0,8,0,0,385,0,307.4817068,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,7,24,-320,4,-6,-14,4,6,14,250,0,8,0,0,385,0,320.9750769,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,19,19,-324,12,-5,-4,12,5,4,250,0,8,0,0,385,0,325.1122883,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,31,17,-340,12,-2,-16,12,2,16,250,0,8,0,0,385,0,341.8332927,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,35,19,-353,4,2,-13,4,2,13,250,0,8,0,0,385,0,355.2393559,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,35,25,-365,0,6,-12,0,6,12,250,0,8,0,0,385,0,367.5255093,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,24,28,-365,-11,3,0,11,3,0,250,0,8,0,0,385,0,366.8582833,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,20,31,-360,-4,3,5,4,3,5,250,0,8,0,0,385,0,361.885341,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,8,35,-356,-12,4,4,12,4,4,250,0,8,0,0,385,0,357.8058133,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-1,35,-345,-9,0,11,9,0,11,250,0,8,0,0,385,0,346.7722596,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,0,28,-332,1,-7,13,1,7,13,250,0,8,0,0,385,0,333.1786308,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,27,-317,4,-1,15,4,1,15,250,0,8,0,0,385,0,318.172909,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,9,31,-308,5,4,9,5,4,9,250,0,8,0,0,385,0,309.6869387,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,9,28,-324,0,-3,-16,0,3,16,250,0,8,0,0,385,0,325.332138,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,23,23,-335,14,-5,-11,14,5,11,250,0,8,0,0,385,0,336.5754002,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,31,24,-348,8,1,-13,8,1,13,250,0,8,0,0,385,0,350.2013706,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,39,31,-361,8,7,-13,8,7,13,250,0,8,0,0,385,0,364.4214593,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,28,25,-369,-11,-6,-8,11,6,8,250,0,8,0,0,385,0,370.9043003,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,22,28,-362,-6,3,7,6,3,7,250,0,8,0,0,385,0,363.7471649,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,14,35,-362,-8,7,0,8,7,0,250,0,8,0,0,385,0,363.9574151,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,6,38,-354,-8,3,8,8,3,8,250,0,8,0,0,385,0,356.0842597,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,-1,31,-341,-7,-7,13,7,7,13,250,0,8,0,0,385,0,342.4076518,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,30,-321,5,-1,20,5,1,20,250,0,8,0,0,385,0,322.4236344,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,6,30,-308,2,0,13,2,0,13,250,0,8,0,0,385,0,309.5157508,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,7,28,-327,1,-2,-19,1,2,19,250,0,8,0,0,385,0,328.2712293,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,16,22,-333,9,-6,-6,9,6,6,250,0,8,0,0,385,0,334.1092636,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,30,23,-345,14,1,-12,14,1,12,250,0,8,0,0,385,0,347.0648354,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,39,25,-356,9,2,-11,9,2,11,250,0,8,0,0,385,0,359.0013928,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,31,31,-372,-8,6,-16,8,6,16,250,0,8,0,0,385,0,374.5744252,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,24,28,-368,-7,-3,4,7,3,4,250,0,8,0,0,385,0,369.84321,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,16,35,-356,-8,7,12,8,7,12,250,0,8,0,0,385,0,358.0740147,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,8,35,-353,-8,0,3,8,0,3,250,0,8,0,0,385,0,354.8210817,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-5,35,-337,-13,0,16,13,0,16,250,0,8,0,0,385,0,338.8495241,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-2,30,-328,3,-5,9,3,5,9,250,0,8,0,0,385,0,329.375166,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,0,30,-320,2,0,8,2,0,8,250,0,8,0,0,385,0,321.4031736,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,7,31,-313,7,1,7,7,1,7,250,0,8,0,0,385,0,314.6092815,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,15,30,-322,8,-1,-9,8,1,9,250,0,8,0,0,385,0,323.7421814,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,22,24,-338,7,-6,-16,7,6,16,250,0,8,0,0,385,0,339.5644269,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,33,20,-346,11,-4,-8,11,4,8,250,0,8,0,0,385,0,348.1450847,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,38,27,-360,5,7,-14,5,7,14,250,0,8,0,0,385,0,363.0055096,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,30,28,-369,-8,1,-9,8,1,9,250,0,8,0,0,385,0,371.2748308,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,19,33,-361,-11,5,8,11,5,8,250,0,8,0,0,385,0,363.0027548,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,6,38,-356,-13,5,5,13,5,5,250,0,8,0,0,385,0,358.0726183,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-8,38,-349,-14,0,7,14,0,7,250,0,8,0,0,385,0,351.1538125,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-8,32,-340,0,-6,9,0,6,9,250,0,8,0,0,385,0,341.5962529,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,0,28,-320,8,-4,20,8,4,20,250,0,8,0,0,385,0,321.2226642,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,6,31,-316,6,3,4,6,3,4,250,0,8,0,0,385,0,317.5736135,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,8,31,-321,2,0,-5,2,0,5,250,0,8,0,0,385,0,322.5926224,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,23,24,-336,15,-7,-15,15,7,15,250,0,8,0,0,385,0,337.6403412,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,36,24,-352,13,0,-16,13,0,16,250,0,8,0,0,385,0,354.6491224,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,39,31,-359,3,7,-7,3,7,7,250,0,8,0,0,385,0,362.4403399,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,40,32,-369,1,1,-10,1,1,10,250,0,8,0,0,385,0,372.5385886,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,22,32,-360,-18,0,9,18,0,9,250,0,8,0,0,385,0,362.088387,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,3,35,-353,-19,3,7,19,3,7,250,0,8,0,0,385,0,354.7435694,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-10,39,-353,-13,4,0,13,4,0,250,0,8,0,0,385,0,355.2886151,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-10,35,-338,0,-4,15,0,4,15,250,0,8,0,0,385,0,339.9544087,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-8,30,-312,2,-5,26,2,5,26,250,0,8,0,0,385,0,313.5410659,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,7,35,-313,15,5,-1,15,5,1,250,0,8,0,0,391,0,315.0285701,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,12,35,-317,5,0,-4,5,0,4,250,0,8,0,0,391,0,319.1520014,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,23,25,-328,11,-10,-11,11,10,11,250,0,8,0,0,391,0,329.7544541,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,38,30,-345,15,5,-17,15,5,17,250,0,8,0,0,391,0,348.3805391,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,41,31,-361,3,1,-16,3,1,16,250,0,8,0,0,391,0,364.6409193,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,28,28,-369,-13,-3,-8,13,3,8,250,0,8,0,0,391,0,371.1185794,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,9,31,-360,-19,3,9,19,3,9,250,0,8,0,0,391,0,361.4443249,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,1,33,-359,-8,2,1,8,2,1,250,0,8,0,0,391,0,360.5149095,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-7,35,-354,-8,2,5,8,2,5,250,0,8,0,0,391,0,355.7948847,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-4,31,-337,3,-4,17,3,4,17,250,0,8,0,0,391,0,338.4464507,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,7,31,-324,11,0,13,11,0,13,250,0,8,0,0,391,0,325.5549109,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,7,31,-308,0,0,16,0,0,16,250,0,8,0,0,391,0,309.6352693,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,14,31,-313,7,0,-5,7,0,5,250,0,8,0,0,391,0,314.8428179,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,16,28,-329,2,-3,-16,2,3,16,250,0,8,0,0,391,0,330.5767687,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,27,22,-343,11,-6,-14,11,6,14,250,0,8,0,0,391,0,344.7636872,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,28,31,-353,1,9,-10,1,9,10,250,0,8,0,0,391,0,355.4630783,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,24,51,-369,-4,20,-16,4,20,16,250,0,8,0,0,391,0,373.2800557,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,15,35,-369,-9,-16,0,9,16,0,250,0,8,0,0,391,0,370.9595665,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,7,35,-364,-8,0,5,8,0,5,250,0,8,0,0,391,0,365.7458134,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,6,41,-365,-1,6,-1,1,6,1,250,0,8,0,0,391,0,367.3445249,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-4,41,-349,-10,0,16,10,0,16,250,0,8,0,0,391,0,351.4228223,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,0,31,-335,4,-10,14,4,10,14,250,0,8,0,0,391,0,336.4312708,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,7,30,-308,7,-1,27,7,1,27,250,0,8,0,0,391,0,309.5367506,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,15,35,-303,8,5,5,8,5,5,250,0,8,0,0,391,0,305.3833656,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,3,36,-320,-12,1,-17,12,1,17,250,0,8,0,0,391,0,322.032607,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,8,24,-336,5,-12,-16,5,12,16,250,0,8,0,0,391,0,336.951035,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,30,24,-343,22,0,-7,22,0,7,250,0,8,0,0,391,0,345.1448971,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,35,32,-368,5,8,-25,5,8,25,250,0,8,0,0,391,0,371.0431242,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,28,38,-378,-7,6,-10,7,6,10,250,0,8,0,0,391,0,380.9356901,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,11,31,-365,-17,-7,13,17,7,13,250,0,8,0,0,391,0,366.4791945,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,8,35,-360,-3,4,5,3,4,5,250,0,8,0,0,391,0,361.7858483,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,12,46,-360,4,11,0,4,11,0,250,0,8,0,0,391,0,363.1253227,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
